SNA,SJC,1,5,22,3,33,0.2273,1.0414,0.2367
SNA,SJC,1,5,22,3,33,0.2273,1.0414,0.2367
SNA,SJC,1,5,22,3,33,0.2273,1.0414,0.2367
SNA,SJC,1,5,22,3,33,0.2273,1.0414,0.2367
SNA,SJC,1,5,22,3,33,0.2273,1.0414,0.2367
SNA,OAK,1,12,22,1,33,0.5455,1.5185,0.8283
SNA,OAK,1,12,22,1,33,0.5455,1.5185,0.8283
SNA,OAK,1,12,22,1,33,0.5455,1.5185,0.8283
SNA,OAK,1,12,22,1,33,0.5455,1.5185,0.8283
SNA,OAK,1,12,22,1,33,0.5455,1.5185,0.8283
SNA,OAK,1,12,22,1,33,0.5455,1.5185,0.8283
SNA,OAK,1,12,22,1,33,0.5455,1.5185,0.8283
SNA,OAK,1,12,22,1,33,0.5455,1.5185,0.8283
SNA,OAK,1,12,22,1,33,0.5455,1.5185,0.8283
SNA,OAK,1,12,22,1,33,0.5455,1.5185,0.8283
SNA,OAK,1,12,22,1,33,0.5455,1.5185,0.8283
SNA,OAK,1,12,22,1,33,0.5455,1.5185,0.8283
SNA,LAS,1,5,22,1,33,0.2273,1.5185,0.3451
SNA,LAS,1,5,22,1,33,0.2273,1.5185,0.3451
SNA,LAS,1,5,22,1,33,0.2273,1.5185,0.3451
SNA,LAS,1,5,22,1,33,0.2273,1.5185,0.3451
SNA,LAS,1,5,22,1,33,0.2273,1.5185,0.3451
SMF,SJC,1,2,6,3,33,0.3333,1.0414,0.3471
SMF,SJC,1,2,6,3,33,0.3333,1.0414,0.3471
SMF,LAX,1,4,6,1,33,0.6667,1.5185,1.0123
SMF,LAX,1,4,6,1,33,0.6667,1.5185,1.0123
SMF,LAX,1,4,6,1,33,0.6667,1.5185,1.0123
SMF,LAX,1,4,6,1,33,0.6667,1.5185,1.0123
SFO,SJC,1,1,5,3,33,0.2000,1.0414,0.2083
SFO,SAN,1,4,5,1,33,0.8000,1.5185,1.2148
SFO,SAN,1,4,5,1,33,0.8000,1.5185,1.2148
SFO,SAN,1,4,5,1,33,0.8000,1.5185,1.2148
SFO,SAN,1,4,5,1,33,0.8000,1.5185,1.2148
